accidente,hora,operador,tipo de aeronave,modelo,personas a bordo,pasajeros a bordo,tripulantes a bordo,total de fallecidos,pasajeros fallecidos,tripulantes fallecidos,afectados en tierra,sobrevivientes,militar,país
1928-08-25,11:00:00,BRITISH COLUMBIA AIRWAYS,Ford 4-AT-B Tri Motor,4-AT-26,7,5,2,7,5,2,0,0,No militar,Canada
1928-09-02,00:00:00,CIDNA,Bleriot Spad 33,5/4207,5,2,3,5,2,3,0,0,No militar,France
1928-09-04,00:00:00,QANTAS,de Havilland DH.50J,5,2,0,2,1,0,1,0,1,No militar,Australia
1928-09-04,11:30:00,NATIONAL PARKS AIRWAYS,Fokker Super Universal,809,7,6,1,7,6,1,0,0,No militar,U.S.A.
1928-09-06,00:00:00,DEUTSCHE LUFTHANSA,Fokker FG III,1531,3,2,1,3,2,1,0,0,No militar,Germany
1928-10-04,00:00:00,AEROPOSTALE,Breguet 14,159,3,2,1,3,2,1,0,0,No militar,Spain
1928-10-18,00:00:00,NATIONAL AIR TRANSPORT,Douglas M-4,658,1,0,1,1,0,1,0,0,No militar,U.S.A.
1928-10-31,00:00:00,AIR UNION,Bleriot Spad 56,4381.9,2,1,1,1,0,1,0,1,No militar,France
1928-11-15,00:00:00,AEROPOSTALE,Latecoere 32,80,3,-1,3,1,0,1,0,2,No militar,Ocean
1928-11-24,00:00:00,UNIVERSAL AIRLINES,Hamilton H-47,46,3,2,1,3,2,1,0,0,No militar,U.S.A.
1928-11-25,00:00:00,CONTINENTAL AIR LINES,Travel Air 4000,525,1,0,1,1,0,1,0,0,No militar,U.S.A.
1928-11-25,00:00:00,NATIONAL AIR TRANSPORT,Douglas M-4,650,1,0,1,1,0,1,0,0,No militar,U.S.A.
1928-12-01,10:00:00,SUNBEAM AIR TRANSPORT CO.,Ford 4-AT-B Tri Motor,4-AT-47,5,4,1,5,4,1,0,0,No militar,U.S.A.
1928-12-03,08:00:00,SYNDICATO CONDOR,Dornier Wal,83,14,9,5,14,9,5,0,0,No militar,Brazil
1928-12-10,10:45:00,SPOKANE AIRWAYS,Ford Tri-motor 4,4-AT-045,5,3,2,5,3,2,0,0,No militar,U.S.A.
1928-12-11,00:00:00,DEUTSCHE LUFTHANSA,Junkers G-31,3005,4,1,3,3,0,3,0,1,No militar,Germany
1928-12-20,00:00:00,NATIONAL AIR TRANSPORT,Douglas M-4,653,1,0,1,1,0,1,0,0,No militar,U.S.A.
1928-12-23,00:00:00,INTERSTATE AIRLINES,Fairchild FC-2,No Data,4,3,1,4,3,1,0,0,No militar,U.S.A.
1928-12-31,00:00:00,CIDNA,Blériot Spad 66,3359-40,3,2,1,2,2,0,0,1,No militar,France
1929-01-05,00:00:00,COLONIAL AIR TRANSPORT,Fairchild FC-2,111,1,0,1,1,0,1,0,0,No militar,U.S.A.
1929-01-18,00:00:00,VARNEY AIR LINES,Stearman C-38,102,1,0,1,1,0,1,0,0,No militar,U.S.A.
1929-01-25,00:00:00,AEROESPRESSO,CMASA Wal,053,9,7,2,2,7,2,0,7,No militar,Greece
1929-01-31,00:00:00,AEROPOSTALE,Latecoere 26,674,2,0,2,2,0,2,0,0,No militar,Ocean
1929-01-31,00:00:00,SKYLINE TRANSPORTATION COMPANY,Travel Air 4000,800,1,0,1,1,0,1,0,0,No militar,U.S.A.
1929-03-17,17:00:00,COLONIAL WESTERN AIRLINES,Ford 5-AT-B Tri Motor,4-AT-41,15,13,2,14,13,1,0,1,No militar,U.S.A.
1929-03-30,09:18:00,NEW STANDARD AIRLINES,Fokker F-VIIA,617,4,3,1,4,3,1,0,0,No militar,U.S.A.
1929-04-21,11:45:00,MADDUX AIRLINES / MILITARY - U.S.ARMY AIR FORCE,Ford 5-AT-B Tri-Motor / B-PW-9D,4-AT-010,6,3,3,6,3,3,0,0,Militar,U.S.A.
1929-05-09,00:00:00,MEXICANA,Ford Tri-motor 4,No Data,5,4,1,5,4,1,0,0,No militar,Mexico
1929-05-18,00:00:00,MALERT,Fokker F-III,1604,2,0,2,2,0,2,0,0,No militar,Ocean
1929-05-22,00:00:00,AEROPOSTALE,Cams 53,07,6,3,3,4,3,2,0,2,No militar,Ocean
1929-06-13,08:00:00,PAN AMERICAN AIRWAYS,Fokker F-X,1010,5,1,4,2,1,1,0,3,No militar,Cuba
1929-06-14,00:00:00,AEROPOSTALE,Breguet 14,217,2,0,2,1,0,1,0,1,No militar,Spain
1929-06-17,11:30:00,IMPERIAL AIRWAYS,Handley Page W-10,W10/4,13,11,2,7,7,0,0,6,No militar,Ocean
1929-06-24,00:00:00,NORTHWEST ORIENT AIRLINES,Ford 5-AT-B Tri-Motor,5-AT-002,8,6,2,1,0,1,0,7,No militar,U.S.A.
1929-06-29,21:00:00,BODENSEE AEROLLOYD,Domier Delphin III (flying boat),151,5,4,1,5,4,1,0,0,No militar,Germany
1929-06-29,00:00:00,CONTINENTAL AIR LINES,Travel Air 4000,524,1,0,1,1,0,1,0,0,No militar,U.S.A.
1929-08-11,00:00:00,MIDDLE STATES AIRLINES,Lockheed 5 Vega,No Data,4,2,2,4,2,2,0,0,No militar,U.S.A.
1929-08-24,00:00:00,UKVOZDUCHPUT,Kalinin K-4,108,1,0,1,1,0,1,0,0,No militar,Russia
